round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
34,0.8238795155780975,0.3924651587475,0.8231102850061958,0.8250698685436291,0.8240889118635306,0.8238813512601014,0.8238795155780976,0.8238792660255525,7948,1713,1690,7971,0.8250698685436291,0.822689162612566,0.8238795155780976,0.906437130856949,0.9028115805665025,19322,FedAdam,balanced,1,0.3,1,428956419
35,0.8245523237760066,0.390422208776072,0.8234141309953584,0.8263119759859228,0.8248605083694979,0.8245563435697681,0.8245523237760066,0.8245517805223681,7949,1712,1678,7983,0.8263119759859228,0.8227926715660905,0.8245523237760066,0.9074346781736709,0.9043180886009836,19322,FedAdam,balanced,1,0.3,1,428956419
36,0.8260532036021115,0.3886332761409398,0.8238075657894737,0.8295207535451816,0.8266542885141059,0.8260688860842302,0.8260532036021115,0.8260511120576243,7947,1714,1647,8014,0.8295207535451816,0.8225856536590415,0.8260532036021115,0.9082399180473941,0.9055819693691015,19322,FedAdam,balanced,1,0.3,1,428956419
37,0.8258979401718248,0.38722839168023354,0.8220971867007673,0.8317979505227202,0.826919119160321,0.825943324679597,0.8258979401718249,0.8258918794468827,7922,1739,1625,8036,0.8317979505227202,0.8199979298209296,0.8258979401718249,0.9088505576599782,0.906612054302016,19322,FedAdam,balanced,1,0.3,1,428956419
38,0.8255874133112514,0.3862342480769444,0.8202830668974647,0.8338681295932098,0.8270198131608665,0.825676740269067,0.8255874133112514,0.8255754529743378,7896,1765,1605,8056,0.8338681295932098,0.817306697029293,0.8255874133112514,0.9092290976493139,0.9073271762002761,19322,FedAdam,balanced,1,0.3,1,428956419
39,0.8247593416830555,0.38548968447283033,0.8192734303449679,0.8333505848255874,0.826252052545156,0.8248552512441005,0.8247593416830556,0.8247464063101642,7885,1776,1610,8051,0.8333505848255874,0.8161680985405237,0.8247593416830556,0.9094386655129864,0.9078515309106633,19322,FedAdam,balanced,1,0.3,1,428956419
40,0.8256391677880137,0.384861267690259,0.8222700266338865,0.8308663699409999,0.8265458477063276,0.8256747622709182,0.8256391677880137,0.8256344034848166,7926,1735,1634,8027,0.8308663699409999,0.8204119656350274,0.8256391677880137,0.9095186998658304,0.9081679563490452,19322,FedAdam,balanced,1,0.3,1,428956419
41,0.8263637304626851,0.38444473730111123,0.8262624172185431,0.8265189938929718,0.8263906856403622,0.826363761932941,0.826363730462685,0.8263637262768817,7982,1679,1676,7985,0.8265189938929718,0.8262084670323983,0.826363730462685,0.9094968645229794,0.908335331252969,19322,FedAdam,balanced,1,0.3,1,428956419
42,0.8255874133112514,0.384343999436727,0.8289927831816756,0.8204119656350274,0.8246800541046717,0.8256223008214494,0.8255874133112514,0.8255827414998695,8026,1635,1735,7926,0.8204119656350274,0.8307628609874754,0.8255874133112514,0.9094050125140193,0.90839002602714,19322,FedAdam,balanced,1,0.3,1,428956419
43,0.8245005692992444,0.3843886124283696,0.8307659843848914,0.8150295000517545,0.8228225090130101,0.8246170433911454,0.8245005692992444,0.8244848253857668,8057,1604,1787,7874,0.8150295000517545,0.8339716385467343,0.8245005692992444,0.9092734326094303,0.9083718164894912,19322,FedAdam,balanced,1,0.3,1,428956419
44,0.8240865334851465,0.3844745550365777,0.8326604334891627,0.8111996687713487,0.8217899648718083,0.824301962455984,0.8240865334851465,0.8240573144577732,8086,1575,1824,7837,0.8111996687713487,0.8369733981989442,0.8240865334851465,0.9091428384023597,0.9083169866420284,19322,FedAdam,balanced,1,0.3,1,428956419
45,0.8231031984266639,0.3843404691318363,0.8312639286851321,0.8107856329572508,0.8208970865646615,0.8232994054982383,0.8231031984266639,0.8230763551432715,8071,1590,1828,7833,0.8107856329572508,0.835420763896077,0.8231031984266639,0.9090064907217311,0.9082176255899632,19322,FedAdam,balanced,1,0.3,1,428956419
46,0.8233619708104751,0.38406420209622016,0.8280823356437723,0.8161680985405237,0.8220820518167127,0.823428922923927,0.8233619708104751,0.8233528290017226,8024,1637,1776,7885,0.8161680985405237,0.8305558430804264,0.8233619708104751,0.9088885070144324,0.9080926258760453,19322,FedAdam,balanced,1,0.3,1,428956419
47,0.8232584618569506,0.38392036757930775,0.8247036805988771,0.8210330193561743,0.8228642564448363,0.8232648658559101,0.8232584618569506,0.8232575865234768,7975,1686,1729,7932,0.8210330193561743,0.8254839043577269,0.8232584618569506,0.9087888015676363,0.9079776633399957,19322,FedAdam,balanced,1,0.3,1,428956419
48,0.8233102163337128,0.3838448822022057,0.8226422890197294,0.8243453058689577,0.8234929169682557,0.823311601931294,0.8233102163337129,0.8233100270262479,7944,1717,1697,7964,0.8243453058689577,0.822275126798468,0.8233102163337129,0.9087126564343478,0.9078401098738278,19322,FedAdam,balanced,1,0.3,1,428956419
